1.0 2278.5 1886.57 112.78579473 23.18659229 112.786453 23.186418
2.0 2344.51 2471.63 112.78716803 23.1875292 112.787796 23.187383
3.0 3598.64 1076.49 112.78185725 23.18857459 112.782405 23.188424
4.0 2629.54 248.41 112.78125107 23.18520171 112.781861 23.184985
5.0 4642.74 1856.57 112.7821523 23.19217914 112.782715 23.191974
6.0 5485.83 164.402 112.77665377 23.19179453 112.777226 23.191631
7.0 7337.01 593.445 112.77485669 23.19675495 112.775416 23.196609
8.0 8675.14 791.465 112.77327955 23.20018177 112.773831 23.20005
9.0 10804.0 3100.0 112.77567208 23.20848468 112.776237 23.208282
10.0 12348.0 1676.0 112.76983559 23.21009688 112.770325 23.209969
11.0 13220.0 3012.0 112.77169168 23.21399665 112.772275 23.21388
12.0 14654.7 1466.53 112.76564062 23.21524397 112.766231 23.215138
13.0 16646.9 1118.5 112.76176214 23.21951826 112.762284 23.219374
14.0 24376.1 1356.24 112.75036275 23.23818158 112.75089 23.238004
15.0 26812.0 1584.0 112.74712801 23.24420988 112.747677 23.244086
16.0 30649.3 2468.63 112.74336219 23.25452094 112.743914 23.254392
17.0 31651.4 1871.57 112.74036884 23.25607837 112.740886 23.255939
18.0 32248.5 1832.57 112.73930132 23.25743864 112.739864 23.257299
19.0 31969.5 3653.75 112.74417222 23.2593016 112.744797 23.259155
20.0 32401.5 1058.49 112.7371341 23.25666487 112.737714 23.256591
